country_iso,policy_name,Start,End
KOR,Energy Conservation Guideline for Public Institutions Republic of Korea (1997),1997,
KOR,2nd Energy Master Plan Republic of Korea (2014),2014,2035
KOR,Carbon Cashbag Programme Republic of Korea (2009),2009,
KOR,2030 greenhouse gas reduction roadmap Republic of Korea (2016),2016,2020
KOR,3rd Master Plan for the Development and Supply of Eco-Friendly Cars Republic of Korea (2015),2015,2020
KOR,National CCS master action plan Republic of Korea (2010),2010,
KOR,"Act on the Promotion of the Development, Use and Diffusion of New and Renewable Energy (Renewable Energy Act) Republic of Korea (2021)",2021,
KOR,Act to Promote the Purchase of Environmentally Friendly Products Republic of Korea (2010),2010,
KOR,"The Fifth Basic Plan for Use, Supply and Technology Development of New and Renewable Energy (Fifth New and Renewable Energy Basic Plan) Republic of Korea (2020)",2020,
KOR,Intended Nationally Determined Contribution - INDC Republic of Korea (2015),2015,2020
KOR,Local Automobile Tax Republic of Korea (2019),2019,
KOR,Joint Communiqu? of the 7th Annual APEC Conference Republic of Korea (2005),2005,
KOR,4th Comprehensive Action Plan for Climate Change Policy Republic of Korea (2008),2008,2010
KOR,The Asia-Pacific Partnership on Clean Development and Climate Republic of Korea (2005),2005,
KOR,Energy efficiency label and Standard Programme Republic of Korea (1992),1992,
KOR,Food and Rural Affairs¡¯ Business Plan Republic of Korea (2021),2021,2030
KOR,Emissions Standards from Stationary Sources Republic of Korea (2004),2004,
KOR,Industrial Waste Reduction System Republic of Korea (1997),1997,
KOR,Methane to Markets Partnership Republic of Korea (2004),2004,
KOR,Integrated Energy Supply Act Republic of Korea (1991),1991,
KOR,Clean Development Mechanisms Coordination Republic of Korea (2004),2004,
KOR,2nd Comprehensive Action Plan for Climate Change Policy Republic of Korea (2002),2002,2004
KOR,Basic Plan for the Rationalization of Energy Use Republic of Korea (1993),1993,
KOR,Second National Climate Change Adaptation Measures Republic of Korea (2016),2016,
KOR,Korean New Deal Republic of Korea (2020),2020,
KOR,Housing Performance Grading Indication System Republic of Korea (2006),2006,
KOR,New and Renewable Energy RD&D Basic Plan Republic of Korea (2001),2001,2006
KOR,"""Kids ISO 14000 Program"" for Energy Conservation and GHG Reduction Republic of Korea (2005)",2005,
KOR,Heavy-duty emissions standards Korea Republic of Korea (2013),2013,
KOR,Solar-Powered Public Housing Republic of Korea (2005),2005,
KOR,2nd Comprehensive Plan for Wood Use Republic of Korea (2019),2019,2024
KOR,Research Funding for the Development of Renewable Energy Sources Republic of Korea (1988),1988,
KOR,Act on the Allocation and Trading of Greenhouse Gas Emissions Rights regulated by Enforcement Decree of Allocation and Trading of Greenhouse Gas Emissions Rights Act Republic of Korea (2012),2012,
KOR,Green Steel Committee Republic of Korea (2021),2021,
KOR,Korean Voluntary Emission Reduction (KVER) Program Republic of Korea (2005),2005,
KOR,Forest Carbon Offset Program Republic of Korea (2013),2013,
KOR,Feed-in Tariff for renewable energy Republic of Korea (2001),2001,2011
